MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20211228,6001,Alameda County,CA,0,0,0,15.54,84.46,0,12/28/21,1/3/22,2
20211221,6001,Alameda County,CA,0,0,0,0,14.95,85.05,12/21/21,12/27/21,2
20211214,6001,Alameda County,CA,0,0,0,0,14.95,85.05,12/14/21,12/20/21,2
20211207,6001,Alameda County,CA,0,0,0,0,14.95,85.05,12/7/21,12/13/21,2
20211130,6001,Alameda County,CA,0,0,0,0,14.95,85.05,11/30/21,12/6/21,2
20211123,6001,Alameda County,CA,0,0,0,0,14.95,85.05,11/23/21,11/29/21,2
20211116,6001,Alameda County,CA,0,0,0,0,0.9,99.1,11/16/21,11/22/21,2
20211109,6001,Alameda County,CA,0,0,0,0,0.9,99.1,11/9/21,11/15/21,2
20211102,6001,Alameda County,CA,0,0,0,0,0.9,99.1,11/2/21,11/8/21,2
20211026,6001,Alameda County,CA,0,0,0,0,0.9,99.1,10/26/21,11/1/21,2
20211019,6001,Alameda County,CA,0,0,0,0,0.9,99.1,10/19/21,10/25/21,2
20211012,6001,Alameda County,CA,0,0,0,0,0.9,99.1,10/12/21,10/18/21,2
20211005,6001,Alameda County,CA,0,0,0,0,0.9,99.1,10/5/21,10/11/21,2
20210928,6001,Alameda County,CA,0,0,0,0,0.9,99.1,9/28/21,10/4/21,2
20210921,6001,Alameda County,CA,0,0,0,0,0.9,99.1,9/21/21,9/27/21,2
20210914,6001,Alameda County,CA,0,0,0,0,0.9,99.1,9/14/21,9/20/21,2
20210907,6001,Alameda County,CA,0,0,0,0,0.9,99.1,9/7/21,9/13/21,2
20210831,6001,Alameda County,CA,0,0,0,0,0.9,99.1,8/31/21,9/6/21,2
20210824,6001,Alameda County,CA,0,0,0,0,0.9,99.1,8/24/21,8/30/21,2
20210817,6001,Alameda County,CA,0,0,0,0,0.9,99.1,8/17/21,8/23/21,2
20210810,6001,Alameda County,CA,0,0,0,0,0.9,99.1,8/10/21,8/16/21,2
20210803,6001,Alameda County,CA,0,0,0,0,0.9,99.1,8/3/21,8/9/21,2
20210727,6001,Alameda County,CA,0,0,0,0,0.9,99.1,7/27/21,8/2/21,2
20210720,6001,Alameda County,CA,0,0,0,0,36.14,63.86,7/20/21,7/26/21,2
20210713,6001,Alameda County,CA,0,0,0,0,36.14,63.86,7/13/21,7/19/21,2
20210706,6001,Alameda County,CA,0,0,0,0,36.14,63.86,7/6/21,7/12/21,2
20210629,6001,Alameda County,CA,0,0,0,0,36.14,63.86,6/29/21,7/5/21,2
20210622,6001,Alameda County,CA,0,0,0,0,36.14,63.86,6/22/21,6/28/21,2
20210615,6001,Alameda County,CA,0,0,0,0,36.14,63.86,6/15/21,6/21/21,2
20210608,6001,Alameda County,CA,0,0,0,0,36.14,63.86,6/8/21,6/14/21,2
20210601,6001,Alameda County,CA,0,0,0,0,36.14,63.86,6/1/21,6/7/21,2
20210525,6001,Alameda County,CA,0,0,0,0,36.14,63.86,5/25/21,5/31/21,2
20210518,6001,Alameda County,CA,0,0,0,0,60.04,39.96,5/18/21,5/24/21,2
20210511,6001,Alameda County,CA,0,0,0,0,100,0,5/11/21,5/17/21,2
20210504,6001,Alameda County,CA,0,0,0,0,100,0,5/4/21,5/10/21,2
20210427,6001,Alameda County,CA,0,0,0,9.22,90.78,0,4/27/21,5/3/21,2
20210420,6001,Alameda County,CA,0,0,0,88.86,11.14,0,4/20/21,4/26/21,2
20210413,6001,Alameda County,CA,0,0,77.49,22.51,0,0,4/13/21,4/19/21,2
20210406,6001,Alameda County,CA,0,0,77.59,22.41,0,0,4/6/21,4/12/21,2
20210330,6001,Alameda County,CA,0,0,77.59,22.41,0,0,3/30/21,4/5/21,2
20210323,6001,Alameda County,CA,0,0,77.59,22.41,0,0,3/23/21,3/29/21,2
20210316,6001,Alameda County,CA,0,0,78.99,21.01,0,0,3/16/21,3/22/21,2
20210309,6001,Alameda County,CA,0,0,78.99,21.01,0,0,3/9/21,3/15/21,2
20210302,6001,Alameda County,CA,0,0,78.99,21.01,0,0,3/2/21,3/8/21,2
20210223,6001,Alameda County,CA,0,0,78.99,21.01,0,0,2/23/21,3/1/21,2
20210216,6001,Alameda County,CA,0,0,78.99,21.01,0,0,2/16/21,2/22/21,2
20210209,6001,Alameda County,CA,0,0,78.99,21.01,0,0,2/9/21,2/15/21,2
20210202,6001,Alameda County,CA,0,0,78.99,21.01,0,0,2/2/21,2/8/21,2
20210126,6001,Alameda County,CA,0,0,0,100,0,0,1/26/21,2/1/21,2
20210119,6001,Alameda County,CA,0,0,0,100,0,0,1/19/21,1/25/21,2
20210112,6001,Alameda County,CA,0,0,0,100,0,0,1/12/21,1/18/21,2
20210105,6001,Alameda County,CA,0,0,0,100,0,0,1/5/21,1/11/21,2
20201229,6001,Alameda County,CA,0,0,0,100,0,0,12/29/20,1/4/21,2
20211228,6003,Alpine County,CA,0,0,0,100,0,0,12/28/21,1/3/22,2
20211221,6003,Alpine County,CA,0,0,0,57.92,42.08,0,12/21/21,12/27/21,2
20211214,6003,Alpine County,CA,0,0,0,35.69,64.31,0,12/14/21,12/20/21,2
20211207,6003,Alpine County,CA,0,0,0,35.69,64.31,0,12/7/21,12/13/21,2
20211130,6003,Alpine County,CA,0,0,0,35.69,64.31,0,11/30/21,12/6/21,2
20211123,6003,Alpine County,CA,0,0,0,35.69,64.31,0,11/23/21,11/29/21,2
20211116,6003,Alpine County,CA,0,0,0,35.69,64.31,0,11/16/21,11/22/21,2
20211109,6003,Alpine County,CA,0,0,0,35.69,64.31,0,11/9/21,11/15/21,2
20211102,6003,Alpine County,CA,0,0,0,35.69,64.31,0,11/2/21,11/8/21,2
20211026,6003,Alpine County,CA,0,0,0,35.69,64.31,0,10/26/21,11/1/21,2
20211019,6003,Alpine County,CA,0,0,0,0,100,0,10/19/21,10/25/21,2
20211012,6003,Alpine County,CA,0,0,0,0,100,0,10/12/21,10/18/21,2
20211005,6003,Alpine County,CA,0,0,0,0,100,0,10/5/21,10/11/21,2
20210928,6003,Alpine County,CA,0,0,0,0,100,0,9/28/21,10/4/21,2
20210921,6003,Alpine County,CA,0,0,0,0,100,0,9/21/21,9/27/21,2
20210914,6003,Alpine County,CA,0,0,0,0,100,0,9/14/21,9/20/21,2
20210907,6003,Alpine County,CA,0,0,0,0,100,0,9/7/21,9/13/21,2
