,Unnamed: 0,incident_name,incident_date_created,incident_county,incident_acres_burned,None,D0,D1,D2,D3,D4,MapDate,County
0,0,Erbes Fire,2021-01-14T16:00:00Z,Ventura,250.0,0.0,1.25,98.75,0.0,0.0,0.0,20210112.0,Ventura County
1,1,Manzanita Fire,2021-01-19T12:08:00Z,Madera,23.0,0.0,0.0,0.0,99.74,0.26,0.0,20210119.0,Madera County
2,2,Bonny Doone Complex (Previously Fanning Fire),2021-01-19T06:48:00Z,Santa Cruz,20.0,0.0,0.0,100.0,0.0,0.0,0.0,20210119.0,Santa Cruz County
3,3,North Butano Fire,2021-01-18T21:00:00Z,San Mateo,15.0,0.0,0.0,28.29,71.71,0.0,0.0,20210119.0,San Mateo County
4,4,China Grade Fire,2021-01-18T21:00:00Z,Santa Cruz,22.0,0.0,0.0,100.0,0.0,0.0,0.0,20210119.0,Santa Cruz County
5,5,Wolf Fire,2021-01-19T11:47:00Z,Kern,685.0,0.0,0.0,37.02,56.54,6.44,0.0,20210119.0,Kern County
6,6,72 Fire,2021-01-19T14:48:24Z,Riverside,43.0,0.0,24.97,16.03,36.56,22.44,0.0,20210119.0,Riverside County
7,7,Towsley Fire,2021-01-19T15:04:08Z,Los Angeles,184.0,0.0,4.36,84.7,10.94,0.0,0.0,20210119.0,Los Angeles County
8,8,Panther Ridge Fire,2021-01-19T15:25:39Z,Santa Cruz,20.0,0.0,0.0,100.0,0.0,0.0,0.0,20210119.0,Santa Cruz County
9,9,Freedom Fire,2021-01-19T19:13:18Z,Santa Cruz,37.0,0.0,0.0,100.0,0.0,0.0,0.0,20210119.0,Santa Cruz County
10,10,Grapevine Fire,2021-03-14T18:35:00Z,Kern,86.0,0.0,0.27,52.43,41.19,6.12,0.0,20210316.0,Kern County
11,11,Refuge Fire,2021-03-27T17:02:04Z,Siskiyou,873.0,0.0,1.57,16.0,27.15,55.28,0.0,20210330.0,Siskiyou County
12,12,Line Fire,2021-03-28T14:43:24Z,Tuolumne,23.0,0.0,0.0,55.2,44.8,0.0,0.0,20210330.0,Tuolumne County
13,13,Woodman Fire,2021-04-01T15:56:00Z,Shasta,35.0,0.0,0.0,0.0,75.51,24.49,0.0,20210330.0,Shasta County
14,14,Westwood Fire,2021-04-04T15:52:00Z,Ventura,25.0,0.0,0.0,1.25,98.75,0.0,0.0,20210406.0,Ventura County
15,15,Paso Fire,2021-04-12T18:44:23Z,San Diego,28.0,0.0,94.19,5.81,0.0,0.0,0.0,20210413.0,San Diego County
